,LA_code,LA_name,GI_code,GI_categories,Percentages,No_qual_perc,Percentages_level1,level_1_perc,Percentages_level2,level_2_perc,Percentages_appre,appr_perc,Percentages_level3,level_3_perc,Percentages_level4,level_4_perc,Percentages_other,level_5_perc
0,E06000001,Hartlepool,6,Not answered,1.87,23.130000000000003,0.42,9.469999999999999,0.61,14.669999999999998,0.4,6.95,0.67,18.440000000000005,0.91,24.810000000000002,0.18,2.4699999999999998
1,E06000002,Middlesbrough,6,Not answered,2.1,23.939999999999998,0.63,9.840000000000002,0.64,13.389999999999999,0.4,6.170000000000001,0.87,17.529999999999998,1.25,26.44,0.24,2.6399999999999997
2,E06000003,Redcar and Cleveland,6,Not answered,1.66,22.020000000000003,0.41,9.77,0.58,13.94,0.43,7.7299999999999995,0.68,18.950000000000003,0.98,24.930000000000003,0.17,2.63
3,E06000004,Stockton-on-Tees,6,Not answered,1.43,18.63,0.46,9.69,0.61,14.569999999999999,0.31,6.68,0.63,18.360000000000003,1.05,29.52,0.19,2.54
4,E06000005,Darlington,6,Not answered,1.39,19.26,0.37,9.399999999999999,0.54,14.45,0.35,7.0699999999999985,0.61,18.310000000000002,1.07,28.950000000000003,0.15,2.55
5,E06000006,Halton,6,Not answered,1.34,21.03,0.48,11.86,0.6,16.750000000000007,0.26,5.5,0.64,18.330000000000005,0.81,23.930000000000003,0.14,2.58
6,E06000007,Warrington,6,Not answered,1.27,16.48,0.41,9.989999999999998,0.54,14.75,0.29,5.97,0.63,17.27,1.18,32.97,0.17,2.5799999999999996
7,E06000008,Blackburn with Darwen,6,Not answered,2.45,24.200000000000003,0.77,10.839999999999998,0.94,13.859999999999998,0.37,5.489999999999999,0.91,15.749999999999998,1.6,26.82,0.33,3.0300000000000002
8,E06000009,Blackpool,6,Not answered,1.82,24.55,0.54,11.759999999999998,0.66,15.019999999999998,0.36,6.779999999999999,0.63,16.659999999999997,0.94,22.490000000000002,0.17,2.7199999999999998
9,E06000010,Kingston upon Hull,6,Not answered,2.6,25.250000000000007,0.67,11.299999999999999,0.84,14.079999999999998,0.46,6.88,1.04,17.49,1.21,21.75,0.29,3.2399999999999998
10,E06000011,East Riding of Yorkshire,6,Not answered,1.55,18.210000000000004,0.44,10.04,0.63,14.07,0.42,7.1499999999999995,0.64,17.200000000000006,1.22,30.490000000000002,0.19,2.8
11,E06000012,North East Lincolnshire,6,Not answered,1.98,24.240000000000002,0.59,12.179999999999998,0.71,16.09,0.34,6.52,0.62,16.369999999999997,0.9,21.599999999999998,0.18,3.0199999999999996
12,E06000013,North Lincolnshire,6,Not answered,2.04,21.85,0.55,11.69,0.65,15.12,0.41,7.11,0.65,17.180000000000003,1.03,23.92,0.23,3.13
13,E06000014,York,6,Not answered,1.1,13.339999999999998,0.36,7.449999999999999,0.5,11.36,0.3,5.249999999999999,1.75,21.73,1.8,38.78,0.16,2.07
14,E06000015,Derby,6,Not answered,2.17,20.14,0.7,10.309999999999999,0.88,13.229999999999999,0.51,6.24,1.16,17.319999999999997,1.78,29.689999999999998,0.28,3.05
15,E06000016,Leicester,6,Not answered,3.12,26.710000000000004,0.93,10.7,1.0,11.679999999999998,0.37,3.78,1.61,16.099999999999998,2.1,26.759999999999998,0.47,4.27
16,E06000017,Rutland,6,Not answered,0.95,13.079999999999998,0.36,8.62,0.82,15.389999999999999,0.3,5.6499999999999995,0.68,17.010000000000005,1.56,37.940000000000005,0.14,2.31
17,E06000018,Nottingham,6,Not answered,1.92,19.490000000000002,0.63,8.729999999999999,0.82,11.29,0.29,4.09,2.71,25.050000000000004,1.96,28.619999999999997,0.25,2.6899999999999995
18,E06000019,Herefordshire,6,Not answered,1.86,18.01,0.54,9.530000000000001,0.82,14.129999999999999,0.38,5.89,0.85,16.920000000000005,1.75,32.72,0.25,2.8
19,E06000020,Telford and Wrekin,6,Not answered,1.76,19.950000000000003,0.58,11.25,0.74,15.62,0.33,5.52,0.89,18.67,1.19,26.1,0.23,2.8699999999999997
20,E06000021,Stoke-on-Trent,6,Not answered,2.5,25.91,0.65,10.959999999999999,0.83,14.789999999999997,0.46,6.869999999999999,0.97,16.839999999999996,1.22,21.83,0.23,2.7899999999999996
21,E06000022,Bath and North East Somerset,6,Not answered,1.02,12.249999999999998,0.37,7.409999999999999,0.65,11.85,0.29,4.71,1.45,21.839999999999996,1.84,39.76000000000001,0.17,2.17
22,E06000023,Bristol,6,Not answered,1.39,14.53,0.5,7.529999999999999,0.68,10.719999999999999,0.27,3.92,1.39,18.990000000000006,2.31,42.12,0.19,2.19
23,E06000024,North Somerset,6,Not answered,1.32,14.909999999999998,0.5,9.649999999999999,0.69,14.829999999999998,0.34,5.97,0.74,18.13,1.4,33.88000000000001,0.22,2.64
24,E06000025,South Gloucestershire,6,Not answered,1.13,14.23,0.44,10.11,0.6,14.309999999999999,0.33,6.37,0.94,19.560000000000006,1.4,32.95,0.17,2.4399999999999995
25,E06000026,Plymouth,6,Not answered,1.33,17.33,0.46,9.78,0.59,14.059999999999999,0.36,7.24,1.12,21.660000000000004,1.21,27.51,0.16,2.41
26,E06000027,Torbay,6,Not answered,1.69,19.770000000000003,0.57,11.709999999999999,0.73,15.459999999999999,0.41,7.43,0.75,17.280000000000005,1.24,25.32,0.25,3.03
27,E06000030,Swindon,6,Not answered,1.54,17.33,0.71,13.009999999999998,0.75,16.169999999999998,0.34,5.85,0.67,16.33,1.39,27.92,0.29,3.4
28,E06000031,Peterborough,6,Not answered,2.27,22.36,0.87,12.339999999999998,0.85,14.439999999999998,0.39,5.539999999999999,0.79,15.36,1.54,26.22,0.38,3.7399999999999993
29,E06000032,Luton,6,Not answered,2.6,22.860000000000007,1.02,11.389999999999999,1.02,12.7,0.41,4.83,1.13,14.389999999999997,2.52,29.83,0.47,3.9899999999999993
30,E06000033,Southend-on-Sea,6,Not answered,1.5,19.69,0.61,12.009999999999998,0.78,15.809999999999999,0.28,5.069999999999999,0.76,17.28,1.26,27.21,0.18,2.92
31,E06000034,Thurrock,6,Not answered,1.59,21.580000000000002,0.61,12.199999999999998,0.68,15.579999999999998,0.31,4.959999999999999,0.7,16.25,1.49,26.199999999999996,0.27,3.21
32,E06000035,Medway,6,Not answered,1.43,19.37,0.56,12.07,0.7,15.899999999999999,0.32,6.109999999999999,0.81,17.95,1.28,25.59,0.19,2.9699999999999998
33,E06000036,Bracknell Forest,6,Not answered,0.93,13.2,0.46,10.59,0.68,14.939999999999998,0.24,5.17,0.66,17.890000000000004,1.6,35.59000000000001,0.16,2.61
34,E06000037,West Berkshire,6,Not answered,1.11,14.149999999999999,0.39,9.93,0.62,14.499999999999998,0.26,5.199999999999999,0.65,16.870000000000005,1.56,37.00000000000001,0.14,2.37
35,E06000038,Reading,6,Not answered,1.59,15.829999999999998,0.53,9.159999999999998,0.69,10.649999999999999,0.3,4.14,1.34,16.8,2.6,40.42,0.31,3.0199999999999996
36,E06000039,Slough,6,Not answered,2.23,20.16,0.9,10.73,0.96,12.059999999999999,0.39,4.21,1.0,13.619999999999997,2.73,34.82,0.49,4.419999999999999
37,E06000040,Windsor and Maidenhead,6,Not answered,1.11,12.579999999999998,0.44,8.149999999999999,0.71,12.869999999999997,0.22,4.1,0.7,14.839999999999998,2.16,44.96000000000001,0.21,2.52
38,E06000041,Wokingham,6,Not answered,0.84,10.419999999999998,0.39,8.09,0.59,12.61,0.21,4.07,0.72,16.32,2.03,46.190000000000005,0.18,2.27
39,E06000042,Milton Keynes,6,Not answered,1.39,15.809999999999999,0.61,10.849999999999998,0.73,14.219999999999999,0.28,4.6499999999999995,0.76,15.739999999999998,1.97,35.83,0.27,2.8499999999999996
40,E06000043,Brighton and Hove,6,Not answered,0.94,12.43,0.38,7.019999999999999,0.59,10.66,0.2,3.41,1.41,19.690000000000005,2.49,44.52,0.21,2.2699999999999996
41,E06000044,Portsmouth,6,Not answered,1.41,17.42,0.52,9.62,0.69,13.119999999999997,0.29,5.319999999999999,1.6,21.830000000000002,1.52,29.98,0.22,2.71
42,E06000045,Southampton,6,Not answered,1.58,17.32,0.55,9.53,0.67,12.559999999999999,0.36,5.430000000000001,1.53,20.54,1.89,31.639999999999997,0.29,2.9799999999999995
43,E06000046,Isle of Wight,6,Not answered,1.63,18.45,0.62,11.169999999999998,0.76,14.639999999999999,0.49,7.46,0.84,17.930000000000003,1.46,27.410000000000004,0.23,2.94
44,E06000047,County Durham,6,Not answered,1.37,20.92,0.35,9.53,0.51,14.209999999999999,0.27,6.23,0.96,19.910000000000004,0.96,26.730000000000004,0.13,2.4299999999999997
45,E06000049,Cheshire East,6,Not answered,1.12,15.02,0.39,8.67,0.58,13.7,0.32,5.89,0.63,16.810000000000002,1.41,37.57,0.17,2.34
46,E06000050,Cheshire West and Chester,6,Not answered,1.13,15.829999999999998,0.38,9.290000000000001,0.53,13.689999999999998,0.27,5.379999999999999,0.77,17.750000000000004,1.35,35.68000000000001,0.13,2.3299999999999996
