,LA_code,LA_name,SO_code,SO_categories,Observation_x,Percentages,Non-response_rate,region_x,Observation_y,Observation_total,Percentage,region_y,Shannon_idx
0,E06000001,Hartlepool,5,Not answered,4554,6.097528318560372,6.097528318560372,North East,1875,92337,2.030605282822704,North East,0.9318764313074194
1,E06000002,Middlesbrough,5,Not answered,8298,7.282908248345592,7.282908248345592,North East,10510,143923,7.302515928656296,North East,1.181237207116602
2,E06000003,Redcar and Cleveland,5,Not answered,7046,6.2719196738530565,6.2719196738530565,North East,1460,136533,1.069338548189815,North East,0.8315886599331691
3,E06000004,Stockton-on-Tees,5,Not answered,9268,5.865451553699133,5.865451553699133,North East,5674,196603,2.8860190332802653,North East,1.0016496630902827
4,E06000005,Darlington,5,Not answered,5010,5.6863323723696455,5.6863323723696455,North East,4403,107800,4.084415584415584,North East,0.9668642245293866
5,E06000006,Halton,5,Not answered,5676,5.460527581628923,5.460527581628923,North West,3315,128473,2.58030870299596,North West,0.8816132080187717
6,E06000007,Warrington,5,Not answered,9832,5.692483166299017,5.692483166299017,North West,11129,210973,5.275082593507227,North West,0.9805206956719491
7,E06000008,Blackburn with Darwen,5,Not answered,9892,8.27727014091107,8.27727014091107,North West,18550,154733,11.988392909075634,North West,1.1038412797184933
8,E06000009,Blackpool,5,Not answered,7749,6.66070707157531,6.66070707157531,North West,6036,141034,4.279819050725357,North West,0.9088318984461958
9,E06000010,Kingston upon Hull,5,Not answered,17539,8.200507768483755,8.200507768483755,Yorkshire and The Humber,25805,267004,9.664649218738296,Yorkshire and The Humber,0.9484147758033037
10,E06000011,East Riding of Yorkshire,5,Not answered,19514,6.772402304435345,6.772402304435345,Yorkshire and The Humber,7325,342208,2.140511034224799,Yorkshire and The Humber,0.8194048926916596
11,E06000012,North East Lincolnshire,5,Not answered,8480,6.6497286785232586,6.6497286785232586,Yorkshire and The Humber,5882,156967,3.747284461065065,Yorkshire and The Humber,0.9028893612599441
12,E06000013,North Lincolnshire,5,Not answered,9670,6.933539833795808,6.933539833795808,Yorkshire and The Humber,10526,169682,6.20336865430629,Yorkshire and The Humber,0.9376481690509161
13,E06000014,York,5,Not answered,13610,7.908974157819191,7.908974157819191,Yorkshire and The Humber,10061,202829,4.960336046620553,Yorkshire and The Humber,0.9337914899277419
14,E06000015,Derby,5,Not answered,18235,8.716872538146776,8.716872538146776,East Midlands,32670,261362,12.499904347227217,East Midlands,1.307019817445213
15,E06000016,Leicester,5,Not answered,30847,10.599833684977355,10.599833684977355,East Midlands,106800,368570,28.976856499443798,East Midlands,1.5862745674429959
16,E06000017,Rutland,5,Not answered,2083,6.073240422182051,6.073240422182051,East Midlands,772,41050,1.8806333739342267,East Midlands,0.8712444656586127
17,E06000018,Nottingham,5,Not answered,25917,9.805049125501753,9.805049125501753,East Midlands,44849,323631,13.858066748859041,East Midlands,1.2949691923084523
18,E06000019,Herefordshire,5,Not answered,12757,8.118600166737732,8.118600166737732,West Midlands,8691,187037,4.646674187460236,West Midlands,0.8289935915650453
19,E06000020,Telford and Wrekin,5,Not answered,10497,7.06041406029299,7.06041406029299,West Midlands,11898,185538,6.412702519160495,West Midlands,1.1078129696671033
20,E06000021,Stoke-on-Trent,5,Not answered,16377,7.953783838913658,7.953783838913658,West Midlands,21978,258376,8.506208006935628,West Midlands,1.1203087329865113
21,E06000022,Bath and North East Somerset,5,Not answered,12475,7.718818448440149,7.718818448440149,South West,9222,193406,4.768207811546694,South West,0.9064137656282728
22,E06000023,Bristol,5,Not answered,33051,8.480965235509663,8.480965235509663,South West,46235,472463,9.785951492497826,South West,1.12891995449028
23,E06000024,North Somerset,5,Not answered,12080,6.764929886653824,6.764929886653824,South West,8268,216733,3.8148320744879642,South West,0.8838984603038879
24,E06000025,South Gloucestershire,5,Not answered,15510,6.534212987538232,6.534212987538232,South West,15112,290432,5.203283384750992,South West,0.9752471796438565
25,E06000026,Plymouth,5,Not answered,14429,6.599915837236534,6.599915837236534,South West,11555,264690,4.365484151271298,South West,0.9558474177789761
26,E06000027,Torbay,5,Not answered,8626,7.370633672841616,7.370633672841616,South West,3986,139327,2.860895590947914,South West,0.8539023639070817
27,E06000030,Swindon,5,Not answered,13173,7.038588542056274,7.038588542056274,South West,22540,233406,9.656992536610028,South West,1.1348127208026841
28,E06000031,Peterborough,5,Not answered,13565,8.094979501471,8.094979501471,East of England,41385,215673,19.188771890779098,East of England,1.2498496043580536
29,E06000032,Luton,5,Not answered,17032,9.86230297976815,9.86230297976815,East of England,49752,225259,22.086575897078475,East of England,1.3244978580551692
30,E06000033,Southend-on-Sea,5,Not answered,10223,6.982541937599038,6.982541937599038,East of England,10315,180683,5.7088934764200285,East of England,1.1087496986691574
31,E06000034,Thurrock,5,Not answered,8954,6.566297309387443,6.566297309387443,East of England,19094,176000,10.848863636363637,East of England,1.1182634659120807
32,E06000035,Medway,5,Not answered,14881,6.680403670383739,6.680403670383739,South East,17555,279775,6.27468501474399,South East,1.1246428752118014
33,E06000036,Bracknell Forest,5,Not answered,6014,6.018032081494602,6.018032081494602,South East,9271,124607,7.4401919635333496,South East,1.1750994080037702
34,E06000037,West Berkshire,5,Not answered,8459,6.470291274017868,6.470291274017868,South East,7505,161448,4.648555572072742,South East,1.015885860950693
35,E06000038,Reading,5,Not answered,12738,9.011035653650255,9.011035653650255,South East,31735,174226,18.214847382135847,South East,1.4126830369868713
36,E06000039,Slough,5,Not answered,11677,9.818050347251416,9.818050347251416,South East,41438,158492,26.145168210382856,South East,1.5313271123439032
37,E06000040,Windsor and Maidenhead,5,Not answered,8613,6.96410812034574,6.96410812034574,South East,12892,153499,8.39875178339924,South East,1.2713966747581107
38,E06000041,Wokingham,5,Not answered,9253,6.570752941677732,6.570752941677732,South East,13737,177512,7.738631754472937,South East,1.3192166161662713
39,E06000042,Milton Keynes,5,Not answered,16408,7.29792599774942,7.29792599774942,South East,34868,287057,12.14671650578108,South East,1.3061454669871093
40,E06000043,Brighton and Hove,5,Not answered,20375,8.656693589160758,8.656693589160758,South East,24579,277105,8.869922953393118,South East,1.0339462826558252
41,E06000044,Portsmouth,5,Not answered,13114,7.677176878314931,7.677176878314931,South East,18546,208004,8.916174688948288,South East,1.1048250179690264
42,E06000045,Southampton,5,Not answered,16969,8.303159007280984,8.303159007280984,South East,37042,248921,14.881026510418968,South East,1.1994163885415867
43,E06000046,Isle of Wight,5,Not answered,9306,7.781847373438362,7.781847373438362,South East,2556,140465,1.8196703805218384,South East,0.8644840201772527
44,E06000047,County Durham,5,Not answered,25035,5.7689914692205235,5.7689914692205235,North East,9565,522070,1.832129791024192,North East,0.8384112275407507
45,E06000049,Cheshire East,5,Not answered,19981,6.064514954139021,6.064514954139021,North West,16413,398770,4.115906412217569,North West,0.8824655133772077
46,E06000050,Cheshire West and Chester,5,Not answered,17726,6.0015303462239045,6.0015303462239045,North West,11598,357148,3.2473932375373793,North West,0.878855315118876
47,E06000051,Shropshire,5,Not answered,19378,7.1178272591700145,7.1178272591700145,West Midlands,8254,323603,2.550656205288579,West Midlands,0.8310036859578798
48,E06000052,Cornwall,5,Not answered,36528,7.6510446667015755,7.6510446667015755,South West,10226,570304,1.7930787790371452,South West,0.8601654928329192
49,E06000053,Isles of Scilly,5,Not answered,118,6.820809248554912,6.820809248554912,South West,46,2054,2.239532619279455,South West,0.8140061856395782
50,E06000054,Wiltshire,5,Not answered,27520,6.566232576339612,6.566232576339612,South West,17204,510338,3.371099153894086,South West,0.9250238617220555
51,E06000055,Bedford,5,Not answered,10745,7.254351260481508,7.254351260481508,East of England,21719,185223,11.725865578248921,East of England,1.2471375187606124
52,E06000056,Central Bedfordshire,5,Not answered,14555,6.14757560398716,6.14757560398716,East of England,13773,294250,4.68071367884452,East of England,0.9645784722919833
53,E06000057,Northumberland,5,Not answered,15171,5.6429655418675235,5.6429655418675235,North East,3506,320560,1.093711005739955,North East,0.8467586359720901
54,E06000058,"Bournemouth, Christchurch and Poole",5,Not answered,25580,7.637895667181234,7.637895667181234,South West,32213,400195,8.04932595359762,South West,1.0086659253333639
55,E06000059,Dorset,5,Not answered,23103,7.177029033681058,7.177029033681058,South West,6790,379574,1.788847497457676,South West,0.847149872827312
56,E06000060,Buckinghamshire,5,Not answered,31429,7.088262159022992,7.088262159022992,South East,38876,553074,7.029077483302415,South East,1.2706492208276385
57,E06000061,North Northamptonshire,5,Not answered,20283,7.013752251987454,7.013752251987454,East Midlands,32849,359519,9.136930176152024,East Midlands,0.9962793397789489
