,LA_code,LA_name,GI_code,GI_categories,Religion_code_atheist,Religion_categories_atheist,Observation_atheist,Percentages_atheist,Total_counts_atheist,Total_atheist,Religion_code_christian,Religion_categories_christian,Observation_christian,Percentages_christian,Total_counts_christian,Total_christian,Religion_code,Religion_categories,Observation,Percentages,Total_counts_muslim,Total_muslim,Religion_code_other,Religion_categories_other,Observation_other,Percentages_other,Total_counts_other,Total_other,Religion_code_buddhist,Religion_categories_buddhist,Observation_buddhist,Percentages_buddhist,Total_counts_buddhist,Total_buddhist,Religion_code_jewish,Religion_categories_jewish,Observation_jewish,Percentages_jewish,Total_counts_jewish,Total_jewish,Religion_code_hindu,Religion_categories_hindu,Observation_hindu,Percentages_hindu,Total_counts_hindu,Total_hindu,Religion_code_sikh,Religion_categories_sikh,Observation_sikh,Percentages_sikh,Total_counts_sikh,Total_sikh
0,E06000001,Hartlepool,3,Not answered,1,No religion,849,1.14,74686,36.79,2,Christian,1359,1.82,74686,56.06,6,Muslim,96,0.13,74686,1.06,8,Other religion,19,0.03,74686,0.36,3,Buddhist,13,0.02,74686,0.36,5,Jewish,1,0.0,74686,0.36,4,Hindu,34,0.05,74686,0.36,7,Sikh,11,0.01,74686,0.36
1,E06000002,Middlesbrough,3,Not answered,1,No religion,1398,1.23,113935,34.02,2,Christian,2028,1.78,113935,49.59,6,Muslim,813,0.71,113935,8.68,8,Other religion,31,0.03,113935,0.38,3,Buddhist,24,0.02,113935,0.38,5,Jewish,1,0.0,113935,0.38,4,Hindu,57,0.05,113935,0.38,7,Sikh,32,0.03,113935,0.38
2,E06000003,Redcar and Cleveland,3,Not answered,1,No religion,1306,1.16,112345,36.559999999999995,2,Christian,2077,1.85,112345,56.79,6,Muslim,60,0.05,112345,0.5800000000000001,8,Other religion,23,0.02,112345,0.42000000000000004,3,Buddhist,13,0.01,112345,0.42000000000000004,5,Jewish,1,0.0,112345,0.42000000000000004,4,Hindu,6,0.01,112345,0.42000000000000004,7,Sikh,2,0.0,112345,0.42000000000000004
3,E06000004,Stockton-on-Tees,3,Not answered,1,No religion,1613,1.02,158010,36.56,2,Christian,2349,1.49,158010,54.2,6,Muslim,395,0.25,158010,2.84,8,Other religion,27,0.02,158010,0.32,3,Buddhist,26,0.02,158010,0.32,5,Jewish,3,0.0,158010,0.32,4,Hindu,13,0.01,158010,0.32,7,Sikh,22,0.01,158010,0.32
4,E06000005,Darlington,3,Not answered,1,No religion,940,1.07,88104,37.379999999999995,2,Christian,1393,1.58,88104,54.709999999999994,6,Muslim,117,0.13,88104,1.37,8,Other religion,23,0.03,88104,0.43000000000000005,3,Buddhist,16,0.02,88104,0.43000000000000005,5,Jewish,1,0.0,88104,0.43000000000000005,4,Hindu,21,0.02,88104,0.43000000000000005,7,Sikh,24,0.03,88104,0.43000000000000005
5,E06000006,Halton,3,Not answered,1,No religion,969,0.93,103946,32.3,2,Christian,1662,1.6,103946,61.550000000000004,6,Muslim,69,0.07,103946,0.56,8,Other religion,25,0.02,103946,0.41000000000000003,3,Buddhist,10,0.01,103946,0.41000000000000003,5,Jewish,2,0.0,103946,0.41000000000000003,4,Hindu,19,0.02,103946,0.41000000000000003,7,Sikh,5,0.0,103946,0.41000000000000003
6,E06000007,Warrington,3,Not answered,1,No religion,1639,0.95,172719,32.73,2,Christian,2526,1.46,172719,59.03,6,Muslim,180,0.1,172719,1.4800000000000002,8,Other religion,47,0.03,172719,0.43000000000000005,3,Buddhist,36,0.02,172719,0.43000000000000005,5,Jewish,4,0.0,172719,0.43000000000000005,4,Hindu,46,0.03,172719,0.43000000000000005,7,Sikh,22,0.01,172719,0.43000000000000005
7,E06000008,Blackburn with Darwen,3,Not answered,1,No religion,980,0.82,119515,21.19,2,Christian,1750,1.46,119515,41.43,6,Muslim,3265,2.73,119515,31.45,8,Other religion,36,0.03,119515,0.33999999999999997,3,Buddhist,16,0.01,119515,0.33999999999999997,5,Jewish,2,0.0,119515,0.33999999999999997,4,Hindu,32,0.03,119515,0.33999999999999997,7,Sikh,9,0.01,119515,0.33999999999999997
8,E06000009,Blackpool,3,Not answered,1,No religion,1519,1.31,116338,37.75,2,Christian,1927,1.66,116338,54.199999999999996,6,Muslim,125,0.11,116338,1.2100000000000002,8,Other religion,39,0.03,116338,0.5700000000000001,3,Buddhist,21,0.02,116338,0.5700000000000001,5,Jewish,7,0.01,116338,0.5700000000000001,4,Hindu,28,0.02,116338,0.5700000000000001,7,Sikh,4,0.0,116338,0.5700000000000001
9,E06000010,Kingston upon Hull,3,Not answered,1,No religion,3856,1.8,213883,46.349999999999994,2,Christian,4880,2.28,213883,43.379999999999995,6,Muslim,507,0.24,213883,2.79,8,Other religion,101,0.05,213883,0.48999999999999994,3,Buddhist,31,0.01,213883,0.48999999999999994,5,Jewish,6,0.0,213883,0.48999999999999994,4,Hindu,29,0.01,213883,0.48999999999999994,7,Sikh,12,0.01,213883,0.48999999999999994
10,E06000011,East Riding of Yorkshire,3,Not answered,1,No religion,3213,1.12,288141,36.28,2,Christian,5196,1.8,288141,56.339999999999996,6,Muslim,86,0.03,288141,0.49,8,Other religion,68,0.02,288141,0.4,3,Buddhist,54,0.02,288141,0.4,5,Jewish,6,0.0,288141,0.4,4,Hindu,33,0.01,288141,0.4,7,Sikh,9,0.0,288141,0.4
11,E06000012,North East Lincolnshire,3,Not answered,1,No religion,1737,1.36,127522,42.49,2,Christian,2199,1.72,127522,49.589999999999996,6,Muslim,103,0.08,127522,1.01,8,Other religion,50,0.04,127522,0.48,3,Buddhist,22,0.02,127522,0.48,5,Jewish,2,0.0,127522,0.48,4,Hindu,23,0.02,127522,0.48,7,Sikh,14,0.01,127522,0.48
12,E06000013,North Lincolnshire,3,Not answered,1,No religion,1667,1.2,139467,35.71,2,Christian,2861,2.05,139467,55.5,6,Muslim,222,0.16,139467,2.04,8,Other religion,44,0.03,139467,0.4,3,Buddhist,23,0.02,139467,0.4,5,Jewish,2,0.0,139467,0.4,4,Hindu,29,0.02,139467,0.4,7,Sikh,24,0.02,139467,0.4
13,E06000014,York,3,Not answered,1,No religion,2190,1.27,172085,44.43000000000001,2,Christian,2285,1.33,172085,45.65,6,Muslim,88,0.05,172085,1.09,8,Other religion,88,0.05,172085,0.68,3,Buddhist,35,0.02,172085,0.68,5,Jewish,11,0.01,172085,0.68,4,Hindu,47,0.03,172085,0.68,7,Sikh,5,0.0,172085,0.68
14,E06000015,Derby,3,Not answered,1,No religion,2693,1.29,209189,35.239999999999995,2,Christian,4110,1.96,209189,43.11,6,Muslim,1873,0.9,209189,9.4,8,Other religion,82,0.04,209189,0.56,3,Buddhist,44,0.02,209189,0.56,5,Jewish,5,0.0,209189,0.56,4,Hindu,150,0.07,209189,0.56,7,Sikh,394,0.19,209189,0.56
15,E06000016,Leicester,3,Not answered,1,No religion,3202,1.1,291014,22.92,2,Christian,4668,1.6,291014,26.36,6,Muslim,5137,1.77,291014,20.68,8,Other religion,141,0.05,291014,0.6300000000000001,3,Buddhist,82,0.03,291014,0.6300000000000001,5,Jewish,12,0.0,291014,0.6300000000000001,4,Hindu,4370,1.5,291014,0.6300000000000001,7,Sikh,942,0.32,291014,0.6300000000000001
16,E06000017,Rutland,3,Not answered,1,No religion,396,1.15,34299,35.12,2,Christian,564,1.64,34299,57.67,6,Muslim,22,0.06,34299,0.6200000000000001,8,Other religion,15,0.04,34299,0.56,3,Buddhist,9,0.03,34299,0.56,5,Jewish,2,0.01,34299,0.56,4,Hindu,3,0.01,34299,0.56,7,Sikh,1,0.0,34299,0.56
17,E06000018,Nottingham,3,Not answered,1,No religion,3880,1.47,264323,41.19,2,Christian,4300,1.63,264323,36.2,6,Muslim,2222,0.84,264323,10.2,8,Other religion,179,0.07,264323,0.78,3,Buddhist,88,0.03,264323,0.78,5,Jewish,19,0.01,264323,0.78,4,Hindu,193,0.07,264323,0.78,7,Sikh,161,0.06,264323,0.78
