,LA_code,LA_name,GI_code,GI_categories,Religion_code,Religion_categories,Observation,Group_Percentages_No religion,Total_LA_counts,No religion_%,Religion_code_Christian,Religion_categories_Christian,Observation_Christian,Group_Percentages_Christian,Total_LA_counts_Christian,Christian_%,Religion_code_Muslim,Religion_categories_Muslim,Observation_Muslim,Group_Percentages_Muslim,Total_LA_counts_Muslim,Muslim_%,Religion_code_Other,Religion_categories_Other,Observation_Other,Group_Percentages_Other,Total_LA_counts_Other,Other_%,Religion_code_Buddhist,Religion_categories_Buddhist,Observation_Buddhist,Group_Percentages_Buddhist,Total_LA_counts_Buddhist,Buddhist_%,Religion_code_Jewish,Religion_categories_Jewish,Observation_Jewish,Group_Percentages_Jewish,Total_LA_counts_Jewish,Jewish_%,Religion_code_Hindu,Religion_categories_Hindu,Observation_Hindu,Group_Percentages_Hindu,Total_LA_counts_Hindu,Hindu_%,Religion_code_Sikh,Religion_categories_Sikh,Observation_Sikh,Group_Percentages_Sikh,Total_LA_counts_Sikh,Sikh_%
0,E06000001,Hartlepool,3,Not answered,1,No religion,849,1.2,70895,38.77,2,Christian,1359,1.92,70895,59.06,6,Muslim,96,0.14,70895,1.12,8,Other religion,19,0.03,70895,0.38,3,Buddhist,13,0.02,70895,0.22,5,Jewish,1,0.0,70895,0.38,4,Hindu,34,0.05,70895,0.38,7,Sikh,11,0.02,70895,0.38
1,E06000002,Middlesbrough,3,Not answered,1,No religion,1398,1.3,107747,35.97,2,Christian,2028,1.88,107747,52.44,6,Muslim,813,0.75,107747,9.190000000000001,8,Other religion,31,0.03,107747,0.4,3,Buddhist,24,0.02,107747,0.34,5,Jewish,1,0.0,107747,0.4,4,Hindu,57,0.05,107747,0.4,7,Sikh,32,0.03,107747,0.4
2,E06000003,Redcar and Cleveland,3,Not answered,1,No religion,1306,1.23,106451,38.589999999999996,2,Christian,2077,1.95,106451,59.92,6,Muslim,60,0.06,106451,0.6200000000000001,8,Other religion,23,0.02,106451,0.44,3,Buddhist,13,0.01,106451,0.24000000000000002,5,Jewish,1,0.0,106451,0.44,4,Hindu,6,0.01,106451,0.44,7,Sikh,2,0.0,106451,0.44
3,E06000004,Stockton-on-Tees,3,Not answered,1,No religion,1613,1.07,150096,38.480000000000004,2,Christian,2349,1.56,150096,57.050000000000004,6,Muslim,395,0.26,150096,2.9799999999999995,8,Other religion,27,0.02,150096,0.34,3,Buddhist,26,0.02,150096,0.31,5,Jewish,3,0.0,150096,0.34,4,Hindu,13,0.01,150096,0.34,7,Sikh,22,0.01,150096,0.34
4,E06000005,Darlington,3,Not answered,1,No religion,940,1.12,83762,39.32,2,Christian,1393,1.66,83762,57.54999999999999,6,Muslim,117,0.14,83762,1.44,8,Other religion,23,0.03,83762,0.44999999999999996,3,Buddhist,16,0.02,83762,0.37000000000000005,5,Jewish,1,0.0,83762,0.44999999999999996,4,Hindu,21,0.03,83762,0.44999999999999996,7,Sikh,24,0.03,83762,0.44999999999999996
5,E06000006,Halton,3,Not answered,1,No religion,969,0.98,99157,33.85999999999999,2,Christian,1662,1.68,99157,64.53,6,Muslim,69,0.07,99157,0.5900000000000001,8,Other religion,25,0.03,99157,0.43000000000000005,3,Buddhist,10,0.01,99157,0.25,5,Jewish,2,0.0,99157,0.43000000000000005,4,Hindu,19,0.02,99157,0.43000000000000005,7,Sikh,5,0.01,99157,0.43000000000000005
6,E06000007,Warrington,3,Not answered,1,No religion,1639,1.0,163962,34.47,2,Christian,2526,1.54,163962,62.18,6,Muslim,180,0.11,163962,1.56,8,Other religion,47,0.03,163962,0.44999999999999996,3,Buddhist,36,0.02,163962,0.33,5,Jewish,4,0.0,163962,0.44999999999999996,4,Hindu,46,0.03,163962,0.44999999999999996,7,Sikh,22,0.01,163962,0.44999999999999996
7,E06000008,Blackburn with Darwen,3,Not answered,1,No religion,980,0.86,113645,22.279999999999998,2,Christian,1750,1.54,113645,43.58,6,Muslim,3265,2.87,113645,33.07,8,Other religion,36,0.03,113645,0.36,3,Buddhist,16,0.01,113645,0.21000000000000002,5,Jewish,2,0.0,113645,0.36,4,Hindu,32,0.03,113645,0.36,7,Sikh,9,0.01,113645,0.36
8,E06000009,Blackpool,3,Not answered,1,No religion,1519,1.38,110197,39.85,2,Christian,1927,1.75,110197,57.22,6,Muslim,125,0.11,110197,1.2600000000000002,8,Other religion,39,0.04,110197,0.6100000000000001,3,Buddhist,21,0.02,110197,0.43,5,Jewish,7,0.01,110197,0.6100000000000001,4,Hindu,28,0.03,110197,0.6100000000000001,7,Sikh,4,0.0,110197,0.6100000000000001
9,E06000010,Kingston upon Hull,3,Not answered,1,No religion,3856,1.92,200406,49.46,2,Christian,4880,2.44,200406,46.3,6,Muslim,507,0.25,200406,2.98,8,Other religion,101,0.05,200406,0.52,3,Buddhist,31,0.02,200406,0.34,5,Jewish,6,0.0,200406,0.52,4,Hindu,29,0.01,200406,0.52,7,Sikh,12,0.01,200406,0.52
