LA_name,Observation,Non_Eng_Percentages,NR_rate,region,Urb_Rur,Shannon_idx
Adur,1971,3.14,4.68,South East,Predominantly Urban,0.2050761703465675
Allerdale,1073,1.15,4.61,North West,Predominantly Rural,0.09914341212187984
Amber Valley,1850,1.51,5.44,East Midlands,Predominantly Urban,0.14283059492053643
Arun,9469,5.89,5.44,South East,Predominantly Urban,0.20166387261491095
Ashfield,3944,3.22,5.64,East Midlands,Predominantly Urban,0.22551388215863852
Ashford,8710,6.78,4.98,South East,Urban with Significant Rural,0.4914906438701682
Babergh,1561,1.73,5.13,East of England,Predominantly Rural,0.15786124073462876
Barking and Dagenham,50244,24.05,8.42,London,Predominantly Urban,0.6310649882595233
Barnet,86047,22.94,8.25,London,Predominantly Urban,0.9822582289791191
Barnsley,10134,4.28,4.7,Yorkshire and The Humber,Predominantly Urban,0.1491000194998118
Barrow-in-Furness,1043,1.6,4.87,North West,Urban with Significant Rural,0.19162878208963802
Basildon,9273,5.14,4.85,East of England,Predominantly Urban,0.34157428905764936
Basingstoke and Deane,12631,7.06,4.52,South East,Urban with Significant Rural,0.48647014815108147
Bassetlaw,4756,4.16,5.42,East Midlands,Predominantly Rural,0.13937671226878698
Bath and North East Somerset,9222,4.9,5.78,South West,Urban with Significant Rural,0.24820386843108228
Bedford,21719,12.15,5.78,East of England,Urban with Significant Rural,0.6126464813440797
Bexley,22657,9.53,5.69,London,Predominantly Urban,0.5920252256358961
Birmingham,171460,15.57,8.36,West Midlands,Predominantly Urban,0.6696520266624778
Blaby,5286,5.3,4.82,East Midlands,Predominantly Urban,0.5248323943871354
Blackburn with Darwen,18550,12.47,7.37,North West,Predominantly Urban,0.41023003559397025
Blackpool,6036,4.42,5.12,North West,Predominantly Urban,0.2816932570337995
Blaenau Gwent,1204,1.86,6.39,Wales,Welsh/not specified,0.19788540519634493
Bolsover,2903,3.73,5.42,East Midlands,Urban with Significant Rural,0.1271759458945093
Bolton,31208,10.95,5.89,North West,Predominantly Urban,0.5775460085344067
Boston,14173,20.71,9.0,East Midlands,Urban with Significant Rural,0.032341501194683486
"Bournemouth, Christchurch and Poole",32213,8.28,5.98,South West,Not specified,0.37715974454011414
Bracknell Forest,9271,7.7,4.73,South East,Predominantly Urban,0.5738492711070251
Bradford,65208,12.42,7.57,Yorkshire and The Humber,Predominantly Urban,0.5270051844549272
Braintree,4439,2.95,4.86,East of England,Predominantly Rural,0.23282384318370217
Breckland,8724,6.34,5.94,East of England,Predominantly Rural,0.19001448197981316
Brent,110404,33.68,10.06,London,Predominantly Urban,0.8328955447617907
Brentwood,3015,4.05,4.77,East of England,Urban with Significant Rural,0.34023644390374025
Bridgend,2483,1.76,5.33,Wales,Welsh/not specified,0.16910054439112004
Brighton and Hove,24579,9.1,6.21,South East,Predominantly Urban,0.47340126265543286
Bristol,46235,10.12,6.73,South West,Predominantly Urban,0.539931093371442
Broadland,2445,1.91,4.65,East of England,Urban with Significant Rural,0.19853332120056563
Bromley,25701,8.07,5.58,London,Predominantly Urban,0.4758365679497844
Bromsgrove,1479,1.54,4.65,West Midlands,Predominantly Urban,0.2713813603012297
Broxbourne,8649,9.05,5.58,East of England,Predominantly Urban,0.45966227740920873
Broxtowe,5358,4.97,5.04,East Midlands,Predominantly Urban,0.3866411471283439
Buckinghamshire,38876,7.26,5.5,South East,Not specified,0.670084471940468
Burnley,8169,8.95,6.54,North West,Predominantly Urban,0.51033291355789
Bury,12257,6.55,5.16,North West,Predominantly Urban,0.7361156768902005
Caerphilly,2046,1.2,5.55,Wales,Welsh/not specified,0.13762277196075498
Calderdale,9294,4.65,5.38,Yorkshire and The Humber,Predominantly Urban,0.5600342189387647
Cambridge,28407,20.02,9.28,East of England,Predominantly Urban,0.5410644160835352
Camden,43382,21.26,8.21,London,Predominantly Urban,0.7774458543794478
Cannock Chase,1722,1.77,4.32,West Midlands,Urban with Significant Rural,0.15745442506627766
Canterbury,8354,5.44,6.06,South East,Predominantly Urban,0.3546213410489318
Cardiff,31088,8.85,6.41,Wales,Welsh/not specified,0.6080817119595034
Carlisle,3807,3.56,5.0,North West,Urban with Significant Rural,0.16348993780843857
Carmarthenshire,4432,2.43,6.48,Wales,Welsh/not specified,0.19227637309452403
Castle Point,1477,1.7,4.75,East of England,Predominantly Urban,0.29836438343938193
Central Bedfordshire,13773,4.85,4.67,East of England,Predominantly Rural,0.3087861673264958
Ceredigion,2059,2.95,8.29,Wales,Welsh/not specified,0.21508358814347633
Charnwood,11900,6.66,5.77,East Midlands,Predominantly Urban,0.6382359158527933
Chelmsford,9002,5.12,4.89,East of England,Predominantly Urban,0.35301021685910905
Cheltenham,7964,6.9,5.21,South West,Predominantly Urban,0.377798041361843
Cherwell,14425,9.28,5.4,South East,Urban with Significant Rural,0.3923864863540622
Cheshire East,16413,4.24,4.61,North West,Urban with Significant Rural,0.2266226364725018
Cheshire West and Chester,11598,3.34,4.57,North West,Urban with Significant Rural,0.24253445801781648
Chesterfield,2252,2.24,5.28,East Midlands,Predominantly Urban,0.2257739801673474
Chichester,4014,3.32,4.98,South East,Predominantly Rural,0.20382951144877573
Chorley,2504,2.19,4.45,North West,Urban with Significant Rural,0.24065804069221344
City of London,1826,21.61,7.45,London,Predominantly Urban,0.6286972718286855
Colchester,12348,6.62,5.52,East of England,Urban with Significant Rural,0.41441727122671185
Conwy,2057,1.84,6.81,Wales,Welsh/not specified,0.17419462118906098
Copeland,656,1.0,4.69,North West,Predominantly Rural,0.06567712698627001
Cornwall,10226,1.84,5.79,South West,Predominantly Rural,0.19790122273510438
Cotswold,1963,2.22,4.65,South West,Predominantly Rural,0.17284251450911506
County Durham,9565,1.88,4.56,North East,Predominantly Rural,0.16573999179141008
Coventry,58334,17.51,7.65,West Midlands,Predominantly Urban,0.7631354303717821
Craven,903,1.62,4.72,Yorkshire and The Humber,Predominantly Rural,0.2126848110921553
Crawley,17852,15.67,5.96,South East,Predominantly Urban,0.7597976485663136
Croydon,60237,16.04,7.51,London,Predominantly Urban,0.682647381090102
Dacorum,9320,6.23,5.15,East of England,Urban with Significant Rural,0.48055013088270204
Darlington,4403,4.21,4.48,North East,Predominantly Urban,0.33335773267530433
Dartford,10461,9.35,5.2,South East,Predominantly Urban,0.6201974312513691
Denbighshire,1610,1.73,6.99,Wales,Welsh/not specified,0.15738623929192685
Derby,32670,12.95,7.48,East Midlands,Predominantly Urban,0.6680617783478316
Derbyshire Dales,658,0.94,5.08,East Midlands,Predominantly Rural,0.181335138714928
Doncaster,21578,7.24,5.46,Yorkshire and The Humber,Predominantly Urban,0.2967686056260654
Dorset,6790,1.83,5.38,South West,Not specified,0.1690733485343771
Dover,4034,3.57,5.03,South East,Urban with Significant Rural,0.2961436133889623
Dudley,13922,4.45,5.88,West Midlands,Predominantly Urban,0.47438115748453713
Ealing,109501,30.9,8.8,London,Predominantly Urban,0.968594119199847
East Cambridgeshire,4197,4.93,5.2,East of England,Predominantly Rural,0.27637235431963375
East Devon,2776,1.89,5.5,South West,Predominantly Rural,0.11579375457840306
East Hampshire,3502,2.86,4.65,South East,Predominantly Rural,0.23733245706956319
East Hertfordshire,6692,4.61,4.65,East of England,Urban with Significant Rural,0.31190412045372895
East Lindsey,2089,1.5,6.3,East Midlands,Predominantly Rural,0.09390903541653106
East Riding of Yorkshire,7325,2.19,5.09,Yorkshire and The Humber,Predominantly Rural,0.141961178672817
East Staffordshire,11977,9.98,6.08,West Midlands,Urban with Significant Rural,0.45192070461233086
East Suffolk,4973,2.07,5.55,East of England,Not specified,0.1996584801846649
Eastbourne,7263,7.34,6.22,South East,Predominantly Urban,0.36388611171139496
Eastleigh,4858,3.68,4.2,South East,Predominantly Urban,0.37586962024761467
Eden,1245,2.33,5.28,North West,Predominantly Rural,0.09508981133289544
Elmbridge,9189,6.86,5.04,South East,Predominantly Urban,0.43599643619149403
Enfield,74807,23.55,8.58,London,Predominantly Urban,0.7608430206354431
Epping Forest,7880,6.05,5.29,East of England,Urban with Significant Rural,0.529613519485252
Epsom and Ewell,7017,8.96,5.22,South East,Predominantly Urban,0.5244204440205646
Erewash,2599,2.37,4.93,East Midlands,Predominantly Urban,0.1827398033285912
Exeter,9904,7.79,6.54,South West,Predominantly Urban,0.36881478359288405
Fareham,2161,1.94,4.28,South East,Predominantly Urban,0.20869569792807469
Fenland,8801,8.85,6.28,East of England,Predominantly Rural,0.1605475979069904
Flintshire,5518,3.67,6.2,Wales,Welsh/not specified,0.11436145276178405
Folkestone and Hythe,5149,4.82,4.93,South East,Urban with Significant Rural,0.4571699494610745
Forest of Dean,1571,1.86,5.54,South West,Predominantly Rural,0.15240570239221846
Fylde,1758,2.21,4.35,North West,Predominantly Urban,0.15706681767712333
Gateshead,8010,4.21,4.37,North East,Predominantly Urban,0.5506131537238035
Gedling,3691,3.24,4.66,East Midlands,Predominantly Urban,0.38296998387870135
Gloucester,10258,8.01,5.69,South West,Predominantly Urban,0.4215209438319054
Gosport,1792,2.26,4.24,South East,Predominantly Urban,0.220666805475162
Gravesham,12284,11.92,5.32,South East,Predominantly Urban,0.5791472265841421
Great Yarmouth,6128,6.32,6.13,East of England,Urban with Significant Rural,0.15635300564337115
Greenwich,50566,18.22,7.16,London,Predominantly Urban,0.7411011460687523
Guildford,11299,8.09,5.8,South East,Predominantly Urban,0.3870783114098367
Gwynedd,2855,2.5,7.95,Wales,Welsh/not specified,0.1769485640826511
Hackney,49524,19.87,9.65,London,Predominantly Urban,0.932730783003017
Halton,3315,2.66,4.27,North West,Predominantly Urban,0.2024900555573631
Hambleton,1338,1.51,4.58,Yorkshire and The Humber,Predominantly Rural,0.09043173079380129
