LA_name,Observation,Non_Eng_Percentages,NR_rate,region,Urb_Rur
Adur,1971,3.14,6.47,South East,Predominantly Urban
Allerdale,1073,1.15,6.18,North West,Predominantly Rural
Amber Valley,1850,1.51,6.77,East Midlands,Predominantly Urban
Arun,9469,5.89,7.09,South East,Predominantly Urban
Ashfield,3944,3.22,6.77,East Midlands,Predominantly Urban
Ashford,8710,6.78,6.52,South East,Urban with Significant Rural
Babergh,1561,1.73,6.85,East of England,Predominantly Rural
Barking and Dagenham,50244,24.05,9.14,London,Predominantly Urban
Barnet,86047,22.94,9.94,London,Predominantly Urban
Barnsley,10134,4.28,5.83,Yorkshire and The Humber,Predominantly Urban
Barrow-in-Furness,1043,1.6,6.39,North West,Urban with Significant Rural
Basildon,9273,5.14,6.24,East of England,Predominantly Urban
Basingstoke and Deane,12631,7.06,6.06,South East,Urban with Significant Rural
Bassetlaw,4756,4.16,6.48,East Midlands,Predominantly Rural
Bath and North East Somerset,9222,4.9,7.72,South West,Urban with Significant Rural
Bedford,21719,12.15,7.25,East of England,Urban with Significant Rural
Bexley,22657,9.53,6.97,London,Predominantly Urban
Birmingham,171460,15.57,9.42,West Midlands,Predominantly Urban
Blaby,5286,5.3,6.07,East Midlands,Predominantly Urban
Blackburn with Darwen,18550,12.47,8.28,North West,Predominantly Urban
Blackpool,6036,4.42,6.66,North West,Predominantly Urban
Blaenau Gwent,1204,1.86,7.1,Wales,Welsh/not specified
Bolsover,2903,3.73,6.42,East Midlands,Urban with Significant Rural
Bolton,31208,10.95,6.86,North West,Predominantly Urban
Boston,14173,20.71,9.69,East Midlands,Urban with Significant Rural
"Bournemouth, Christchurch and Poole",32213,8.28,7.64,South West,Not specified
Bracknell Forest,9271,7.7,6.02,South East,Predominantly Urban
Bradford,65208,12.42,8.76,Yorkshire and The Humber,Predominantly Urban
Braintree,4439,2.95,6.53,East of England,Predominantly Rural
Breckland,8724,6.34,7.46,East of England,Predominantly Rural
Brent,110404,33.68,11.7,London,Predominantly Urban
Brentwood,3015,4.05,6.28,East of England,Urban with Significant Rural
Bridgend,2483,1.76,6.47,Wales,Welsh/not specified
Brighton and Hove,24579,9.1,8.66,South East,Predominantly Urban
Bristol,46235,10.12,8.48,South West,Predominantly Urban
Broadland,2445,1.91,6.44,East of England,Urban with Significant Rural
Bromley,25701,8.07,7.3,London,Predominantly Urban
Bromsgrove,1479,1.54,5.97,West Midlands,Predominantly Urban
Broxbourne,8649,9.05,6.89,East of England,Predominantly Urban
Broxtowe,5358,4.97,6.66,East Midlands,Predominantly Urban
Buckinghamshire,38876,7.26,7.09,South East,Not specified
Burnley,8169,8.95,7.59,North West,Predominantly Urban
Bury,12257,6.55,6.59,North West,Predominantly Urban
Caerphilly,2046,1.2,6.61,Wales,Welsh/not specified
Calderdale,9294,4.65,6.89,Yorkshire and The Humber,Predominantly Urban
Cambridge,28407,20.02,11.91,East of England,Predominantly Urban
Camden,43382,21.26,10.51,London,Predominantly Urban
Cannock Chase,1722,1.77,5.41,West Midlands,Urban with Significant Rural
Canterbury,8354,5.44,8.0,South East,Predominantly Urban
Cardiff,31088,8.85,7.65,Wales,Welsh/not specified
Carlisle,3807,3.56,6.47,North West,Urban with Significant Rural
Carmarthenshire,4432,2.43,7.92,Wales,Welsh/not specified
Castle Point,1477,1.7,6.13,East of England,Predominantly Urban
Central Bedfordshire,13773,4.85,6.15,East of England,Predominantly Rural
Ceredigion,2059,2.95,10.43,Wales,Welsh/not specified
Charnwood,11900,6.66,7.21,East Midlands,Predominantly Urban
Chelmsford,9002,5.12,6.49,East of England,Predominantly Urban
Cheltenham,7964,6.9,6.92,South West,Predominantly Urban
Cherwell,14425,9.28,6.8,South East,Urban with Significant Rural
Cheshire East,16413,4.24,6.06,North West,Urban with Significant Rural
Cheshire West and Chester,11598,3.34,6.0,North West,Urban with Significant Rural
Chesterfield,2252,2.24,6.52,East Midlands,Predominantly Urban
Chichester,4014,3.32,6.56,South East,Predominantly Rural
