LA_name,Total_Observation,No religion_Percentage,No religion_Observation,Christian_Percentage,Christian_Observation,Buddhist_Percentage,Buddhist_Observation,Hindu_Percentage,Hindu_Observation,Jewish_Percentage,Jewish_Observation,Muslim_Percentage,Muslim_Observation,Sikh_Percentage,Sikh_Observation,Other religion_Percentage,Other religion_Observation,Buddhist_NR,Christian_NR,Hindu_NR,Jewish_NR,Muslim_NR,No religion_NR,Other religion_NR,Sikh_NR
Adur,49937,47.51,23725,49.18,24557,0.51,256,0.34,170,0.43,215,1.23,615,0.07,33,0.73,366,0.02,1.46,0.0,0.0,0.06,1.34,0.03,0.0
Allerdale,75913,33.1,25128,65.88,50010,0.27,205,0.08,57,0.04,33,0.23,175,0.03,20,0.38,285,0.01,1.72,0.0,0.0,0.02,0.97,0.03,0.01
Amber Valley,99178,46.62,46233,51.74,51317,0.26,261,0.18,178,0.06,55,0.25,246,0.2,203,0.69,685,0.02,1.92,0.0,0.0,0.01,1.39,0.05,0.01
Arun,131269,39.56,51925,58.33,76574,0.36,469,0.23,303,0.19,246,0.66,866,0.05,64,0.63,822,0.03,2.06,0.02,0.01,0.04,1.22,0.05,0.0
Ashfield,96860,49.49,47936,48.56,47039,0.24,236,0.32,312,0.04,39,0.53,518,0.23,223,0.58,557,0.03,1.87,0.02,0.0,0.05,1.67,0.04,0.02
Ashford,100889,40.28,40635,53.35,53820,1.15,1164,2.2,2224,0.13,128,1.42,1428,0.12,125,1.35,1365,0.07,1.58,0.11,0.01,0.09,1.17,0.1,0.0
Babergh,72856,42.55,30999,55.87,40706,0.31,223,0.17,124,0.16,115,0.4,290,0.03,23,0.52,376,0.02,1.81,0.01,0.01,0.03,1.23,0.02,0.0
Barking and Dagenham,152848,20.11,30743,50.67,77444,0.46,708,3.16,4836,0.16,244,22.84,34903,2.09,3189,0.51,781,0.03,3.02,0.2,0.01,1.64,0.9,0.05,0.18
Barnet,285544,22.67,64739,41.16,117518,1.27,3622,6.58,18795,14.45,41247,11.86,33879,0.44,1248,1.57,4496,0.07,2.04,0.38,0.6,0.88,1.07,0.14,0.02
Barnsley,189686,40.62,77055,57.93,109881,0.21,403,0.16,307,0.03,59,0.51,959,0.11,206,0.43,816,0.01,1.87,0.01,0.0,0.04,1.17,0.03,0.0
Barrow-in-Furness,52728,39.13,20631,59.44,31340,0.29,155,0.18,96,0.04,19,0.45,235,0.04,20,0.44,232,0.01,1.62,0.01,0.0,0.04,1.3,0.05,0.01
Basildon,140968,43.48,61293,52.34,73782,0.35,500,1.23,1737,0.26,369,1.66,2338,0.2,278,0.48,671,0.02,1.69,0.07,0.01,0.09,1.14,0.03,0.01
Basingstoke and Deane,141832,43.8,62124,50.58,71744,0.97,1373,2.19,3111,0.11,152,1.32,1872,0.27,390,0.75,1066,0.03,1.31,0.11,0.0,0.12,1.13,0.05,0.01
Bassetlaw,92131,36.45,33584,61.79,56931,0.25,233,0.22,207,0.05,46,0.59,546,0.16,144,0.48,440,0.01,2.26,0.01,0.0,0.05,1.18,0.03,0.01
Bath and North East Somerset,150324,49.55,74490,47.37,71201,0.62,929,0.51,772,0.2,294,0.96,1450,0.1,148,0.69,1040,0.03,1.4,0.01,0.01,0.05,1.44,0.04,0.0
Bedford,139753,34.86,48715,53.03,74114,0.4,555,1.72,2398,0.14,194,6.25,8735,2.37,3315,1.24,1727,0.02,1.94,0.07,0.0,0.49,1.0,0.07,0.13
Bexley,184947,34.12,63098,55.5,102639,0.95,1757,2.94,5434,0.11,204,3.66,6765,2.26,4174,0.47,876,0.06,1.94,0.17,0.0,0.19,1.08,0.04,0.15
