LA_name,Total_Observation,No religion_Percentage,No religion_Observation,Christian_Percentage,Christian_Observation,Buddhist_Percentage,Buddhist_Observation,Hindu_Percentage,Hindu_Observation,Jewish_Percentage,Jewish_Observation,Muslim_Percentage,Muslim_Observation,Sikh_Percentage,Sikh_Observation,Other religion_Percentage,Other religion_Observation,Buddhist_NR,Christian_NR,Hindu_NR,Jewish_NR,Muslim_NR,No religion_NR,Other religion_NR,Sikh_NR
Adur,49935,47.51,23725,49.18,24556,0.51,256,0.34,169,0.43,216,1.23,615,0.07,33,0.73,365,0.04,2.05,0.02,0.01,0.05,2.12,0.04,0.0
Allerdale,75914,33.1,25129,65.88,50010,0.27,205,0.08,57,0.04,33,0.23,175,0.03,20,0.38,285,0.02,2.54,0.0,0.01,0.03,1.33,0.04,0.0
Amber Valley,99179,46.62,46233,51.74,51318,0.26,261,0.18,179,0.06,55,0.25,246,0.2,202,0.69,685,0.02,2.42,0.01,0.0,0.01,1.9,0.05,0.02
Arun,131265,39.56,51925,58.34,76574,0.36,468,0.23,303,0.19,246,0.66,866,0.05,61,0.63,822,0.03,2.69,0.03,0.01,0.04,1.82,0.07,0.0
Ashfield,96859,49.49,47936,48.56,47038,0.24,235,0.32,313,0.04,39,0.53,517,0.23,222,0.58,559,0.02,2.29,0.04,0.0,0.05,2.11,0.05,0.02
Ashford,100889,40.28,40637,53.35,53821,1.15,1165,2.2,2224,0.13,127,1.42,1428,0.12,125,1.35,1362,0.07,2.08,0.17,0.01,0.12,1.75,0.13,0.01
Babergh,72853,42.55,31001,55.87,40706,0.3,219,0.17,124,0.16,115,0.4,290,0.03,23,0.51,375,0.03,2.45,0.01,0.01,0.04,1.83,0.05,0.0
Barking and Dagenham,152844,20.11,30739,50.67,77443,0.46,708,3.16,4836,0.16,245,22.84,34903,2.09,3189,0.51,781,0.04,3.24,0.25,0.01,1.57,1.13,0.05,0.26
Barnet,285546,22.67,64739,41.16,117518,1.27,3624,6.58,18795,14.44,41247,11.86,33879,0.44,1249,1.57,4495,0.09,2.43,0.46,0.85,0.93,1.49,0.17,0.02
Barnsley,189690,40.62,77055,57.93,109885,0.21,403,0.16,307,0.03,59,0.51,959,0.11,206,0.43,816,0.02,2.25,0.01,0.0,0.05,1.57,0.04,0.0
Barrow-in-Furness,52725,39.13,20630,59.44,31340,0.29,155,0.18,96,0.04,19,0.45,235,0.03,17,0.44,233,0.01,2.3,0.02,0.0,0.03,1.8,0.06,0.02
Basildon,140967,43.48,61292,52.34,73784,0.36,501,1.23,1733,0.26,369,1.66,2339,0.2,278,0.48,671,0.03,2.24,0.09,0.01,0.1,1.65,0.05,0.01
Basingstoke and Deane,141840,43.8,62126,50.58,71745,0.97,1375,2.19,3111,0.11,151,1.32,1873,0.27,389,0.75,1070,0.06,1.81,0.12,0.01,0.13,1.75,0.08,0.02
Bassetlaw,92136,36.45,33587,61.79,56931,0.25,233,0.23,209,0.05,46,0.59,545,0.16,145,0.48,440,0.01,2.68,0.02,0.0,0.07,1.54,0.04,0.01
Bath and North East Somerset,150324,49.55,74490,47.36,71200,0.62,933,0.51,772,0.2,294,0.96,1450,0.1,144,0.69,1041,0.03,1.94,0.03,0.01,0.06,2.33,0.06,0.0
Bedford,139753,34.86,48716,53.03,74114,0.4,553,1.72,2398,0.14,194,6.25,8735,2.37,3316,1.24,1727,0.03,2.41,0.1,0.0,0.47,1.54,0.09,0.18
Bexley,184947,34.12,63098,55.5,102637,0.95,1757,2.94,5434,0.11,204,3.66,6768,2.26,4173,0.47,876,0.07,2.39,0.2,0.0,0.22,1.51,0.05,0.15
Birmingham,834589,26.2,218689,39.53,329931,0.46,3822,2.17,18108,0.19,1555,27.57,230067,3.22,26842,0.67,5575,0.04,2.12,0.15,0.01,2.27,1.43,0.06,0.2
Blaby,79335,41.78,33143,49.42,39210,0.29,232,3.88,3076,0.06,50,1.25,990,2.89,2291,0.43,343,0.03,1.91,0.21,0.0,0.07,1.52,0.03,0.17
Blackburn with Darwen,113635,22.29,25326,43.58,49521,0.21,240,0.36,405,0.04,40,33.08,37585,0.1,109,0.36,409,0.02,1.86,0.04,0.0,3.04,1.08,0.04,0.0
Blackpool,110197,39.85,43909,57.22,63050,0.43,479,0.36,397,0.19,214,1.27,1400,0.07,81,0.61,667,0.03,2.45,0.03,0.01,0.09,1.89,0.05,0.01
Blaenau Gwent,51996,56.25,29249,42.25,21967,0.23,117,0.11,59,0.02,10,0.42,218,0.15,78,0.57,298,0.02,2.1,0.01,0.0,0.06,2.51,0.06,0.02
Bolsover,62553,43.96,27498,54.64,34176,0.22,135,0.17,109,0.05,34,0.28,177,0.17,105,0.51,319,0.01,2.33,0.02,0.0,0.01,1.74,0.05,0.01
Bolton,221629,26.53,58789,52.84,117100,0.23,513,2.23,4936,0.07,150,17.64,39088,0.08,172,0.4,881,0.01,1.96,0.16,0.0,1.56,1.2,0.04,0.01
Boston,53983,30.78,16615,66.71,36010,0.28,153,0.35,189,0.07,40,1.28,692,0.05,26,0.48,258,0.03,4.79,0.03,0.01,0.1,1.87,0.06,0.01
"Bournemouth, Christchurch and Poole",312264,43.57,136055,52.21,163035,0.6,1887,0.68,2114,0.48,1508,1.52,4735,0.07,226,0.87,2704,0.05,2.24,0.04,0.02,0.12,2.03,0.09,0.01
Bracknell Forest,94542,41.17,38925,52.06,49221,0.94,884,2.41,2282,0.17,165,1.68,1593,0.85,806,0.7,666,0.07,1.76,0.18,0.0,0.13,1.61,0.07,0.04
Bradford,399011,29.56,117953,39.33,156918,0.22,886,0.99,3970,0.06,229,28.36,113142,1.01,4012,0.48,1901,0.02,1.9,0.09,0.0,2.78,1.42,0.04,0.07
Braintree,119296,44.53,53123,53.33,63623,0.32,387,0.4,473,0.21,248,0.6,721,0.08,95,0.52,626,0.04,2.19,0.03,0.0,0.04,1.82,0.04,0.0
Breckland,110678,41.49,45919,56.74,62795,0.34,372,0.14,153,0.12,138,0.46,511,0.05,53,0.67,737,0.03,2.78,0.01,0.01,0.03,1.92,0.1,0.0
Brent,256136,15.65,40079,42.74,109483,1.09,2794,17.38,44518,1.2,3065,19.9,50960,0.52,1323,1.53,3914,0.1,3.27,1.6,0.07,1.72,1.12,0.24,0.03
Brentwood,59367,34.23,20321,60.64,36002,0.47,278,1.79,1063,0.48,286,1.46,867,0.53,313,0.4,237,0.03,2.29,0.12,0.02,0.08,1.4,0.04,0.02
Bridgend,112919,51.95,58660,46.25,52228,0.32,365,0.25,284,0.03,36,0.54,608,0.07,76,0.59,662,0.03,2.19,0.03,0.0,0.03,2.07,0.05,0.0
Brighton and Hove,218808,58.34,127642,34.47,75423,1.06,2321,0.81,1773,1.0,2191,2.93,6408,0.16,343,1.24,2707,0.09,1.57,0.05,0.05,0.17,3.24,0.15,0.01
Bristol,363247,54.71,198730,36.43,132315,0.7,2538,0.8,2920,0.3,1103,5.67,20587,0.49,1762,0.91,3292,0.05,1.72,0.05,0.02,0.47,2.79,0.09,0.03
Broadland,103885,43.81,45509,54.38,56489,0.36,370,0.28,286,0.14,147,0.46,474,0.07,70,0.52,540,0.02,2.3,0.01,0.01,0.04,1.7,0.05,0.0
