LA_code,LA_name,SO_code,SO_categories,Observation_x,Percentages,Non-response_rate,region_x,Observation_y,Observation_total,Percentage,region_y,Urb_Rur
E06000001,Hartlepool,5,Not answered,4554,6.097528318560372,6.097528318560372,North East,1875,92337,2.030605282822704,North East,Predominantly Urban
E06000002,Middlesbrough,5,Not answered,8298,7.282908248345592,7.282908248345592,North East,10510,143923,7.302515928656296,North East,Predominantly Urban
E06000003,Redcar and Cleveland,5,Not answered,7046,6.2719196738530565,6.2719196738530565,North East,1460,136533,1.069338548189815,North East,Urban with Significant Rural
E06000004,Stockton-on-Tees,5,Not answered,9268,5.865451553699133,5.865451553699133,North East,5674,196603,2.8860190332802653,North East,Predominantly Urban
E06000005,Darlington,5,Not answered,5010,5.6863323723696455,5.6863323723696455,North East,4403,107800,4.084415584415584,North East,Predominantly Urban
E06000006,Halton,5,Not answered,5676,5.460527581628923,5.460527581628923,North West,3315,128473,2.58030870299596,North West,Predominantly Urban
E06000007,Warrington,5,Not answered,9832,5.692483166299017,5.692483166299017,North West,11129,210973,5.275082593507227,North West,Predominantly Urban
E06000008,Blackburn with Darwen,5,Not answered,9892,8.27727014091107,8.27727014091107,North West,18550,154733,11.988392909075634,North West,Predominantly Urban
E06000009,Blackpool,5,Not answered,7749,6.66070707157531,6.66070707157531,North West,6036,141034,4.279819050725357,North West,Predominantly Urban
E06000010,Kingston upon Hull,5,Not answered,17539,8.200507768483755,8.200507768483755,Yorkshire and The Humber,25805,267004,9.664649218738296,Yorkshire and The Humber,Predominantly Urban
E06000011,East Riding of Yorkshire,5,Not answered,19514,6.772402304435345,6.772402304435345,Yorkshire and The Humber,7325,342208,2.140511034224799,Yorkshire and The Humber,Predominantly Rural
E06000012,North East Lincolnshire,5,Not answered,8480,6.6497286785232586,6.6497286785232586,Yorkshire and The Humber,5882,156967,3.747284461065065,Yorkshire and The Humber,Predominantly Urban
E06000013,North Lincolnshire,5,Not answered,9670,6.933539833795808,6.933539833795808,Yorkshire and The Humber,10526,169682,6.20336865430629,Yorkshire and The Humber,Urban with Significant Rural
E06000014,York,5,Not answered,13610,7.908974157819191,7.908974157819191,Yorkshire and The Humber,10061,202829,4.960336046620553,Yorkshire and The Humber,Predominantly Urban
E06000015,Derby,5,Not answered,18235,8.716872538146776,8.716872538146776,East Midlands,32670,261362,12.499904347227217,East Midlands,Predominantly Urban
E06000016,Leicester,5,Not answered,30847,10.599833684977355,10.599833684977355,East Midlands,106800,368570,28.976856499443798,East Midlands,Predominantly Urban
E06000017,Rutland,5,Not answered,2083,6.073240422182051,6.073240422182051,East Midlands,772,41050,1.8806333739342267,East Midlands,Predominantly Rural
E06000018,Nottingham,5,Not answered,25917,9.805049125501753,9.805049125501753,East Midlands,44849,323631,13.858066748859041,East Midlands,Predominantly Urban
E06000019,Herefordshire,5,Not answered,12757,8.118600166737732,8.118600166737732,West Midlands,8691,187037,4.646674187460236,West Midlands,Predominantly Rural
E06000020,Telford and Wrekin,5,Not answered,10497,7.06041406029299,7.06041406029299,West Midlands,11898,185538,6.412702519160495,West Midlands,Predominantly Urban
E06000021,Stoke-on-Trent,5,Not answered,16377,7.953783838913658,7.953783838913658,West Midlands,21978,258376,8.506208006935628,West Midlands,Predominantly Urban
E06000022,Bath and North East Somerset,5,Not answered,12475,7.718818448440149,7.718818448440149,South West,9222,193406,4.768207811546694,South West,Urban with Significant Rural
E06000023,Bristol,5,Not answered,33051,8.480965235509663,8.480965235509663,South West,46235,472463,9.785951492497826,South West,Predominantly Urban
E06000024,North Somerset,5,Not answered,12080,6.764929886653824,6.764929886653824,South West,8268,216733,3.8148320744879642,South West,Urban with Significant Rural
E06000025,South Gloucestershire,5,Not answered,15510,6.534212987538232,6.534212987538232,South West,15112,290432,5.203283384750992,South West,Predominantly Urban
E06000026,Plymouth,5,Not answered,14429,6.599915837236534,6.599915837236534,South West,11555,264690,4.365484151271298,South West,Predominantly Urban
E06000027,Torbay,5,Not answered,8626,7.370633672841616,7.370633672841616,South West,3986,139327,2.860895590947914,South West,Predominantly Urban
E06000030,Swindon,5,Not answered,13173,7.038588542056274,7.038588542056274,South West,22540,233406,9.656992536610028,South West,Predominantly Urban
E06000031,Peterborough,5,Not answered,13565,8.094979501471,8.094979501471,East of England,41385,215673,19.188771890779098,East of England,Predominantly Urban
E06000032,Luton,5,Not answered,17032,9.86230297976815,9.86230297976815,East of England,49752,225259,22.086575897078475,East of England,Predominantly Urban
E06000033,Southend-on-Sea,5,Not answered,10223,6.982541937599038,6.982541937599038,East of England,10315,180683,5.7088934764200285,East of England,Predominantly Urban
